Quantity,References,Value,Description,Manufacturer,Part Number,Vendor,Vendor Part Number
6,C1 C2 C3 C4 C55 C56,1nF,"CAP, 0603, 1nF, 10%, X7R, 10V",Vishay,VJ0603Y102KXAAC31,Mouser,77-VJ0603Y102KXAAC31
2,C5 C57,100uF,"CAP, SMD 8X10, 100uF, 20%, EC, 35V",United Chemi-Con,EMVH350ADA101MHA0G,Mouser,661-EMVH350ADA101M
6,C6 C8 C18 C58 C60 C63,22uF,"CAP, 0805, 22uf, 20%, X5R, 25V",Taiyo Yuden,TMK212BBJ226MG-TT,Mouser,963-TMK212BBJ226MGTT
2,C7 C59,3.3nF,"CAP, 0603, 3.3nF, 5%, X7R, 10V",Vishay,VJ0603Y332JXQPW1BC,Mouser,77-VJ0603Y332JXQPBC
33,C9 C11 C12 C13 C14 C16 C21 C23 C24 C25 C26 C27 C30 C31 C34 C36 C37 C38 C39 C42 C43 C46 C47 C50 C51 C62 C64 C73 C76 C78 C79 C80 C82,0.1uF,"CAP, 0603, 0.1uF, 5%, X7R, 50V",Yageo,CC603JRX7R9BB104,Mouser,603-CC603JRX7R9BB104
3,C10 C15 C81,4.7uF,"CAP, 0603, 4.7uf, 10%, X7R, 6.3V",Taiyo Yuden,JMK107BB7475KA-T,Mouser,963-JMK107BB7475KA-T
17,C17 C19 C28 C29 C32 C33 C35 C40 C41 C44 C45 C48 C49 C52 C53 C54 C61,1uF,"CAP, 0603, 1uF, 10%, X5R, 50V",Taiyo Yuden,UMK107BJ105KA-T,Mouser,963-UMK107BJ105KA-T
2,C20 C22,15pF,"CAP, 0603, 15pF, 5%, C0G, 50V",AVX,06035A150JAT2A,Mouser,581-06035A150J
2,C65 C66,470uF,"CAP, THT 16X15, 470uF, 20%, EC, 35V",Nichicon,UPM1V471MHD6,Mouser,647-UPM1V471MHD6
2,C67 C68,DNI,"CAP, 0603, Not Installed",,,,
2,C69 C72,10uF,"CAP, 1206, 10uF, 10%, X7R, 50V",TDK,CGA5L1X7R1H106K160AC,Mouser,810-CGA5L1X7R1H106K1
4,C70 C71 C74 C75,0.22uF,"CAP, 0603, 0.22uF, 10%, X7R, 50V",Taiyo Yuden,UMK107B7224KA-TR,Mouser,963-UMK107B7224KA-TR
1,C77,10nF,"CAP, 0603, 10nF, 5%, X7R, 50V",Vishay,VJ0603Y103JXACW1BC,Mouser,77-VJ0603Y103JXACBC
3,D1 D2 D15,DFLS130,"DIO, PowerDI123, Schottky Rectifier, 30V, 1A",Diodes Inc,DFLS130LQ,Mouser,621-DFLS130L
1,D3,PRTR5V0U2X,"TVS, SOT143, ESD Protection, USB",Nexperia,"PRTR5V0U2X,215",Mouser,771-PRTR5V0U2X-T/R
18,D4 D5 D6 D13 D14 D16 D17 D18 D19 D20 D21 D22 D23 D24 D25 D26 D27 D28,Red/Green,"LED, PLCC4, Red/Green",Avago,HSMF-A203-A00J1,Mouser,630-HSMF-A203-A00J1
7,D7 D8 D9 D10 D11 D12 D29,TPD2E2U06,"TVS, SC70-3, ESD TVS Protection, Dual",Texas Instruments,TPD2E2U06QDCKRQ1,Mouser,595-TPD2E2U06QDCKRQ1
2,F1 F2,0.75A,"Fuse, PTC Resettable, 0.75A, SMT",Bourns,MFSM075-2,Mouser,652-MFSM075-2
1,F3,15A,"Fuse, Mini Fuse Holder",Keystone,3568,Mouser,534-3568
1,J1,USB_B_Micro,"CON, THT, Micro USB 2.0 Type AB, Vertical",Wurth Electronics,614105150721,Mouser,710-614105150621
1,J2,Cortex Debug,"CON, SMD, 1.27mm Header, Dual Row, Vertical, 10 Pos",Amphenol FCI,202112100010C4LF,Mouser,649-202112100010C4LF
8,J3 J4 J5 J6 J7 J8 J10 J11,Screw Header 4 Pos,"CON, THT, 5.08mm Pluggable Terminal Header, 4 Pos",Phoenix Contact,1755752,Mouser,651-1755752
8,,Screw Header 4 Pos,"CON, THT, 5.08mm Pluggable Terminal Plug, 4 Pos",Phoenix Contact,1757035,Mouser,651-1757035
1,J9,Screw Header 2 Pos,"CON, THT, 5.08mm Pluggable Terminal Header, 2 Pos",Phoenix Contact,1755736,Mouser,651-1755736
1,,Screw Header 2 Pos,"CON, THT, 5.08mm Pluggable Terminal Plug, 2 Pos",Phoenix Contact,1757019,Mouser,651-1757019
1,J12,Motor,"CON, THT, MATE-N-LOK, Dual Row, 8 Pos",TE Connectivity,350212-1,Mouser,571-3502121
3,L1 L2 L5,1k@100MHz,"BEAD, 1206, 1k@100MHz, 2A",Murata,BLM31KN102SH1L,Mouser,81-BLM31KN102SH1L
2,L3 L4,470@100MHz,"BEAD, 0603, 470R@100MHz, 1A",Murata,BLM18PG471SN1D,Mouser,81-BLM18PG471SN1D
